depth,SP,GR,LLD,LLS,DEN,AC,litholody
1257.2,17.89,98.734,1.319,1.147,2.201,125.823,shale
1257.3,17.883,98.961,1.319,1.141,2.21,125.176,shale
1257.4,17.865,99.044,1.314,1.132,2.214,124.887,shale
1257.5,17.864,99.14,1.301,1.117,2.215,125.728,shale
1257.6,17.897,99.25,1.283,1.099,2.214,128.257,shale
1257.7,17.962,99.296,1.263,1.081,2.213,132.211,shale
1257.8,18.029,99.082,1.248,1.067,2.213,136.318,shale
1257.9,18.061,98.472,1.244,1.062,2.215,139.141,shale
1258,18.036,97.451,1.254,1.069,2.219,140.081,shale
1258.1,17.956,96.139,1.275,1.09,2.226,139.513,shale
1258.2,17.84,94.641,1.306,1.121,2.234,138.094,shale
1258.3,17.711,93.184,1.343,1.158,2.243,136.199,shale
1258.4,17.581,91.951,1.384,1.199,2.248,134.045,shale
1258.5,17.445,91.039,1.431,1.241,2.247,131.672,shale
1258.6,17.296,90.433,1.485,1.286,2.237,128.917,shale
1258.7,17.128,90.077,1.547,1.336,2.219,125.231,shale
1258.8,16.956,89.806,1.618,1.391,2.198,120.325,shale
1258.9,16.811,89.531,1.691,1.45,2.18,115,shale
1259,16.726,89.233,1.758,1.508,2.167,110.613,shale
1259.1,16.719,89.114,1.811,1.557,2.162,107.744,shale
1259.2,16.789,89.283,1.845,1.594,2.163,106.103,shale
1259.3,16.905,89.784,1.86,1.616,2.168,105.683,shale
